iter	Passed	Remaining
401	14087	336336
402	14120	336258
403	14150	336102
404	14185	336067
405	14217	335975
406	14254	335968
407	14278	335677
408	14316	335713
409	14351	335693
410	14381	335532
411	14418	335543
412	14457	335606
413	14490	335514
414	14522	335411
415	14555	335325
416	14583	335147
417	14615	335044
418	14644	334875
419	14679	334830
420	14715	334831
421	14749	334774
422	14780	334631
423	14816	334618
424	14851	334588
425	14882	334481
426	14911	334296
427	14942	334182
428	14982	334254
429	15016	334204
430	15050	334142
431	15089	334194
432	15119	334061
433	15161	334189
434	15190	334022
435	15231	334120
436	15277	334317
437	15312	334295
438	15346	334221
439	15382	334216
440	15413	334094
441	15447	334049
442	15488	334138
443	15527	334183
444	15563	334172
445	15594	334059
446	15639	334236
447	15668	334071
448	15698	333926
449	15730	333828
450	15774	333992
451	15806	333893
452	15844	333924
453	15881	333928
454	15911	333782
455	15942	333674
456	15973	333555
457	16007	333496
458	16051	333652
459	16084	333584
460	16114	333437
461	16157	333570
462	16188	333446
463	16217	333301
464	16252	333265
465	16286	333213
466	16324	333228
467	16359	333212
468	16386	333015
469	16422	332983
470	16459	333006
471	16495	332993
472	16522	332798
473	16561	332836
474	16589	332671
475	16616	332478
476	16651	332437
477	16683	332334
478	16712	332192
479	16748	332182
480	16776	332004
481	16810	331954
482	16848	331989
483	16881	331918
484	16913	331814
485	16948	331792
486	16980	331698
487	17013	331631
488	17048	331583
489	17091	331713
490	17120	331565
491	17154	331522
492	17187	331444
493	17217	331306
494	17256	331361
495	17296	331424
496	17327	331314
497	17359	331221
498	17391	331133
499	17424	331060
500	17461	331067
501	17493	330973
502	17520	330791
503	17555	330766
504	17584	330624
505	17620	330619
506	17654	330566
507	17688	330511
508	17717	330358
509	17753	330346
510	17782	330209
511	17809	330024
512	17842	329970
513	17880	329983
514	17915	329960
515	17946	329852
516	17974	329692
517	18005	329590
518	18037	329501
519	18068	329406
520	18098	329273
521	18134	329274
522	18170	329266
523	18204	329203
524	18238	329163
525	18264	328977
526	18295	328874
527	18329	328816
528	18371	328917
529	18406	328879
530	18446	328945
531	18476	328833
532	18505	328695
533	18534	328560
534	18568	328509
535	18609	328585
536	18640	328483
537	18671	328383
538	18707	328368
539	18742	328339
540	18779	328347
541	18807	328196
542	18844	328202
543	18881	328202
544	18915	328158
545	18952	328155
546	18988	328147
547	19020	328074
548	19058	328094
549	19087	327961
550	19116	327829
551	19159	327929
552	19191	327852
553	19229	327874
554	19264	327840
555	19298	327798
556	19331	327728
557	19364	327663
558	19403	327705
559	19442	327737
560	19472	327628
561	19507	327608
562	19541	327556
563	19571	327438
564	19604	327385
565	19654	327605
566	19689	327565
567	19724	327532
568	19756	327460
569	19790	327408
570	19823	327342
571	19858	327317
572	19894	327303
573	19924	327194
574	19956	327110
575	19991	327075
576	20028	327083
577	20057	326964
578	20090	326902
579	20118	326754
580	20158	326810
581	20186	326666
582	20218	326585
583	20247	326461
584	20286	326495
585	20315	326368
586	20350	326339
587	20381	326249
588	20418	326240
589	20448	326130
590	20479	326039
591	20505	325871
592	20534	325740
593	20570	325733
594	20603	325678
595	20639	325663
596	20676	325668
597	20707	325565
598	20737	325460
599	20768	325370
600	20800	325300
601	20841	325368
602	20874	325304
603	20905	325204
604	20935	325106
605	20967	325029
606	21000	324971
607	21030	324863
608	21063	324808
609	21096	324746
610	21130	324699
611	21170	324746
612	21195	324578
613	21234	324597
614	21266	324526
615	21300	324494
616	21335	324456
617	21366	324364
618	21402	324362
619	21430	324219
620	21463	324162
621	21503	324212
622	21538	324182
623	21574	324166
624	21608	324123
625	21638	324029
626	21665	323873
627	21697	323801
628	21732	323773
629	21769	323784
630	21803	323733
631	21839	323715
632	21874	323692
633	21915	323747
634	21949	323714
635	21983	323666
636	22020	323673
637	22048	323534
638	22080	323467
639	22111	323374
640	22146	323352
641	22179	323302
642	22213	323250
643	22243	323150
644	22276	323098
645	22321	323208
646	22358	323210
647	22399	323276
648	22436	323272
649	22466	323165
650	22501	323138
651	22530	323036
652	22570	323075
653	22604	323024
654	22637	322968
655	22667	322868
656	22707	322916
657	22741	322871
658	22773	322807
659	22810	322804
660	22848	322817
661	22882	322778
662	22914	322702
663	22954	322744
664	22981	322609
665	23014	322543
666	23049	322522
667	23084	322489
668	23118	322444
669	23154	322436
670	23187	322373
671	23231	322469
672	23267	322463
673	23297	322362
674	23336	322384
675	23372	322370
676	23409	322367
677	23443	322328
678	23479	322313
679	23506	322183
680	23543	322175
681	23570	322037
682	23602	321972
683	23628	321819
684	23662	321775
685	23691	321670
686	23725	321627
687	23764	321651
688	23798	321609
689	23831	321558
690	23865	321505
691	23904	321533
692	23939	321510
693	23966	321376
694	24008	321438
695	24036	321313
696	24072	321294
697	24101	321187
698	24148	321326
699	24177	321219
700	24205	321100
701	24240	321062
702	24278	321081
703	24312	321041
704	24347	321013
705	24383	320994
706	24419	320971
707	24450	320895
708	24483	320846
709	24516	320783
710	24548	320723
711	24577	320613
712	24616	320632
713	24655	320658
714	24685	320567
715	24715	320473
716	24749	320434
717	24778	320323
718	24808	320234
719	24842	320187
720	24877	320160
721	24920	320237
722	24955	320212
723	24986	320132
724	25015	320025
725	25049	319984
726	25084	319958
727	25109	319804
728	25146	319797
729	25180	319762
730	25211	319683
731	25241	319592
732	25278	319589
733	25304	319441
734	25335	319367
735	25371	319355
736	25408	319347
737	25442	319307
738	25473	319232
739	25501	319112
740	25536	319085
741	25565	318987
742	25602	318981
743	25633	318908
744	25666	318844
745	25702	318834
746	25734	318774
747	25770	318749
748	25798	318642
749	25833	318616
750	25870	318606
751	25902	318549
752	25941	318567
753	25975	318522
754	26008	318478
755	26038	318391
756	26074	318375
757	26098	318206
758	26128	318124
759	26160	318053
760	26191	317976
761	26230	317998
762	26269	318018
763	26300	317942
764	26330	317858
765	26364	317818
766	26395	317748
767	26427	317674
768	26458	317603
769	26501	317674
770	26532	317594
771	26565	317541
772	26591	317415
773	26623	317350
774	26655	317286
775	26691	317274
776	26723	317208
777	26758	317176
778	26790	317115
779	26825	317089
780	26855	317009
781	26886	316927
782	26914	316815
783	26951	316818
784	26981	316729
785	27015	316693
786	27042	316578
787	27077	316545
788	27109	316489
789	27142	316436
790	27172	316346
791	27210	316357
792	27250	316388
793	27280	316303
794	27319	316318
795	27352	316267
796	27377	316131
797	27412	316106
798	27444	316044
799	27474	315960
800	27513	315970
801	27550	315966
802	27574	315820
803	27612	315829
804	27638	315692
805	27671	315652
806	27702	315569
807	27739	315571
808	27772	315527
809	27809	315516
810	27836	315402
811	27875	315414
812	27911	315406
813	27944	315348
814	27972	315245
815	27999	315135
816	28034	315101
817	28070	315089
818	28099	314990
819	28133	314955
820	28165	314894
821	28196	314821
822	28229	314777
823	28266	314772
824	28301	314747
825	28338	314746
826	28377	314754
827	28410	314706
828	28449	314727
829	28483	314690
830	28514	314618
831	28546	314562
832	28577	314494
833	28613	314469
834	28647	314434
835	28692	314517
836	28723	314448
837	28755	314388
838	28789	314349
839	28822	314302
840	28853	314228
841	28884	314156
842	28930	314258
843	28962	314198
844	28992	314109
845	29021	314022
846	29061	314046
847	29086	313915
848	29117	313843
849	29151	313812
850	29185	313773
851	29222	313760
852	29257	313734
853	29281	313595
854	29319	313596
855	29351	313540
856	29381	313457
857	29412	313387
858	29452	313411
859	29484	313357
860	29513	313272
861	29542	313179
862	29580	313186
863	29615	313157
864	29652	313148
865	29683	313077
866	29715	313026
867	29748	312981
868	29785	312975
869	29821	312957
870	29855	312915
871	29880	312786
872	29914	312748
873	29946	312693
874	29984	312690
875	30019	312670
876	30047	312565
877	30074	312462
878	30115	312499
879	30152	312493
880	30182	312408
881	30212	312337
882	30246	312293
883	30280	312257
884	30308	312160
885	30336	312065
886	30369	312017
887	30398	311930
888	30437	311939
889	30470	311891
890	30510	311918
891	30547	311909
892	30577	311834
893	30609	311775
894	30641	311720
895	30678	311717
896	30715	311713
897	30750	311677
898	30781	311614
899	30815	311583
900	30845	311501
901	30877	311449
902	30914	311439
903	30947	311392
904	30976	311310
905	31009	311256
906	31045	311237
907	31079	311200
908	31113	311166
909	31146	311123
910	31182	311103
911	31218	311087
912	31247	311001
913	31282	310977
914	31313	310906
915	31351	310911
916	31380	310832
917	31419	310842
918	31459	310863
919	31490	310793
920	31522	310739
921	31560	310749
922	31590	310672
923	31626	310652
924	31661	310625
925	31693	310571
926	31724	310498
927	31762	310506
928	31787	310382
929	31825	310388
930	31856	310320
931	31885	310229
932	31919	310197
933	31958	310207
934	31985	310108
935	32024	310113
936	32053	310032
937	32085	309974
938	32118	309928
939	32151	309886
940	32178	309780
941	32223	309848
942	32258	309830
943	32288	309748
944	32323	309723
945	32352	309642
946	32379	309537
947	32413	309499
948	32442	309414
949	32473	309354
950	32508	309325
951	32539	309260
952	32573	309223
953	32607	309192
954	32638	309122
955	32669	309063
956	32700	308999
957	32733	308948
958	32768	308925
959	32802	308886
960	32835	308848
961	32868	308800
962	32902	308767
963	32940	308766
964	32977	308762
965	33017	308778
966	33057	308802
967	33092	308769
968	33123	308709
969	33157	308671
970	33187	308600
971	33225	308599
972	33257	308548
973	33302	308610
974	33339	308608
975	33371	308547
976	33410	308555
977	33450	308575
978	33478	308487
979	33513	308464
980	33559	308532
981	33593	308501
982	33629	308480
983	33658	308401
984	33698	308418
985	33727	308337
986	33759	308283
987	33793	308242
988	33828	308216
989	33857	308137
990	33890	308095
991	33916	307988
992	33954	307979
993	33987	307939
994	34025	307935
995	34057	307882
996	34097	307902
997	34133	307884
998	34166	307842
999	34212	307915
1000	34240	307825
1001	34278	307823
1002	34313	307798
1003	34353	307814
1004	34410	307982
1005	34444	307943
1006	34476	307895
1007	34522	307962
1008	34561	307972
1009	34597	307954
1010	34638	307978
1011	34678	307998
1012	34720	308028
1013	34756	308013
1014	34794	308010
1015	34837	308054
1016	34868	307983
1017	34904	307966
1018	34938	307933
1019	34969	307873
1020	35005	307846
1021	35036	307782
1022	35075	307792
1023	35109	307757
1024	35143	307719
1025	35199	307876
1026	35237	307875
1027	35275	307874
1028	35313	307868
1029	35353	307887
1030	35387	307844
1031	35421	307805
1032	35457	307792
1033	35490	307741
1034	35522	307689
1035	35556	307648
1036	35592	307636
1037	35629	307623
1038	35660	307558
1039	35690	307491
1040	35733	307525
1041	35767	307490
1042	35800	307446
1043	35833	307398
1044	35863	307324
1045	35896	307278
1046	35931	307257
1047	35960	307175
1048	35990	307106
1049	36026	307084
1050	36064	307081
1051	36100	307062
1052	36130	306992
1053	36162	306936
1054	36196	306899
1055	36244	306983
1056	36287	307015
1057	36320	306973
1058	36361	306996
1059	36397	306977
1060	36442	307031
1061	36488	307097
1062	36525	307082
1063	36560	307053
1064	36595	307020
1065	36634	307032
1066	36669	307001
1067	36700	306936
1068	36731	306874
1069	36773	306900
1070	36800	306808
1071	36834	306773
1072	36866	306717
1073	36901	306686
1074	36937	306664
1075	36970	306624
1076	37010	306634
1077	37052	306660
1078	37081	306580
1079	37115	306546
1080	37145	306479
1081	37177	306418
1082	37216	306425
1083	37255	306430
1084	37293	306426
1085	37340	306493
1086	37373	306449
1087	37416	306483
1088	37455	306484
1089	37487	306436
1090	37526	306434
1091	37571	306491
1092	37609	306486
1093	37651	306514
1094	37698	306576
1095	37730	306529
1096	37766	306502
1097	37806	306510
1098	37844	306507
1099	37876	306451
1100	37909	306410
1101	37938	306333
1102	37973	306301
1103	38003	306233
1104	38039	306213
1105	38078	306212
1106	38109	306152
1107	38139	306079
1108	38173	306044
1109	38210	306025
1110	38239	305948
1111	38275	305932
1112	38308	305885
1113	38351	305913
1114	38391	305926
1115	38422	305867
1116	38459	305852
1117	38488	305774
1118	38523	305746
1119	38563	305752
1120	38603	305765
1121	38636	305720
1122	38671	305691
1123	38706	305660
1124	38742	305638
1125	38778	305615
1126	38809	305552
1127	38850	305569
1128	38892	305590
1129	38933	305612
1130	38964	305549
1131	39003	305550
1132	39036	305504
1133	39074	305494
1134	39110	305476
1135	39156	305528
1136	39198	305556
1137	39234	305532
1138	39266	305480
1139	39302	305454
1140	39347	305506
1141	39383	305484
1142	39431	305549
1143	39465	305511
1144	39492	305419
1145	39532	305427
1146	39561	305351
1147	39591	305282
1148	39631	305291
1149	39673	305316
1150	39706	305268
1151	39738	305215
1152	39772	305173
1153	39812	305180
1154	39847	305150
1155	39882	305120
1156	39925	305153
1157	39961	305131
1158	39994	305082
1159	40023	305009
1160	40058	304972
1161	40086	304893
1162	40120	304854
1163	40146	304755
1164	40178	304702
1165	40215	304685
1166	40250	304652
1167	40283	304606
1168	40319	304590
1169	40349	304515
1170	40391	304536
1171	40430	304537
1172	40468	304528
1173	40504	304504
1174	40535	304447
1175	40568	304402
1176	40606	304393
1177	40639	304349
1178	40679	304353
1179	40720	304371
1180	40750	304301
1181	40787	304287
1182	40823	304261
1183	40865	304280
1184	40897	304231
1185	40931	304191
1186	40966	304161
1187	41008	304183
1188	41055	304236
1189	41085	304169
1190	41134	304243
1191	41185	304330
1192	41226	304344
1193	41261	304313
1194	41296	304279
1195	41328	304223
1196	41367	304223
1197	41396	304153
1198	41431	304120
1199	41465	304079
1200	41501	304052
1201	41546	304096
1202	41578	304047
1203	41611	304000
1204	41646	303968
1205	41688	303986
1206	41720	303931
1207	41757	303918
1208	41789	303867
1209	41832	303893
1210	41864	303834
1211	41895	303774
1212	41918	303656
1213	41959	303673
1214	41986	303578
1215	42016	303515
1216	42050	303473
1217	42089	303469
1218	42123	303433
1219	42158	303399
1220	42197	303398
1221	42237	303403
1222	42271	303363
1223	42300	303294
1224	42333	303242
1225	42364	303184
1226	42401	303169
1227	42439	303161
1228	42477	303150
1229	42525	303212
1230	42560	303181
1231	42602	303199
1232	42643	303211
1233	42681	303200
1234	42719	303184
1235	42749	303122
1236	42796	303175
1237	42836	303177
1238	42865	303099
1239	42907	303117
1240	42942	303091
1241	42976	303049
1242	43014	303037
1243	43051	303020
1244	43083	302970
1245	43113	302900
1246	43150	302885
1247	43175	302783
1248	43212	302766
1249	43251	302757
1250	43301	302833
1251	43341	302839
1252	43371	302771
1253	43406	302740
1254	43440	302695
1255	43476	302673
1256	43512	302649
1257	43555	302673
1258	43592	302651
1259	43633	302664
1260	43672	302656
1261	43710	302647
1262	43746	302624
1263	43775	302546
1264	43805	302480
1265	43849	302516
1266	43884	302483
1267	43924	302480
1268	43964	302484
1269	44004	302485
1270	44039	302455
1271	44075	302432
1272	44126	302505
1273	44162	302482
1274	44214	302567
1275	44265	302645
1276	44315	302715
1277	44376	302856
1278	44433	302974
1279	44477	303003
1280	44526	303067
1281	44572	303106
1282	44624	303191
1283	44664	303192
1284	44697	303145
1285	44743	303183
1286	44774	303124
1287	44809	303087
1288	44848	303080
1289	44893	303114
1290	44937	303145
1291	44965	303066
1292	45007	303080
1293	45040	303029
1294	45072	302980
1295	45100	302900
1296	45136	302868
1297	45171	302840
1298	45208	302817
1299	45246	302800
1300	45278	302749
1301	45309	302686
1302	45349	302691
1303	45379	302625
1304	45414	302592
1305	45451	302571
1306	45484	302523
1307	45516	302467
1308	45550	302429
1309	45586	302400
1310	45619	302352
1311	45653	302316
1312	45685	302259
1313	45720	302225
1314	45753	302184
1315	45785	302126
1316	45829	302155
1317	45870	302158
1318	45905	302124
1319	45946	302131
1320	45988	302144
1321	46026	302134
1322	46068	302145
1323	46107	302139
1324	46143	302107
1325	46185	302119
1326	46222	302098
1327	46253	302043
1328	46292	302031
1329	46326	301994
1330	46365	301987
1331	46402	301961
1332	46436	301922
1333	46474	301908
1334	46512	301898
1335	46545	301846
1336	46577	301794
1337	46620	301811
1338	46653	301767
1339	46688	301730
1340	46729	301736
1341	46760	301678
1342	46797	301655
1343	46831	301618
1344	46870	301606
1345	46902	301557
1346	46936	301514
1347	46970	301476
1348	47012	301485
1349	47052	301485
1350	47084	301431
1351	47123	301425
1352	47164	301425
1353	47200	301398
1354	47240	301400
1355	47276	301372
1356	47322	301408
1357	47359	301382
1358	47392	301337
1359	47443	301408
1360	47481	301387
1361	47529	301441
1362	47569	301439
1363	47614	301467
1364	47649	301432
1365	47692	301450
1366	47734	301456
1367	47763	301387
1368	47797	301345
1369	47835	301327
1370	47867	301277
1371	47905	301262
1372	47935	301191
1373	47962	301109
1374	48003	301112
1375	48037	301070
1376	48064	300988
1377	48097	300940
1378	48128	300881
1379	48158	300816
1380	48190	300760
1381	48218	300683
1382	48250	300631
1383	48286	300602
1384	48321	300571
1385	48357	300539
1386	48386	300468
1387	48419	300425
1388	48451	300372
1389	48486	300340
1390	48518	300284
1391	48554	300256
1392	48585	300194
1393	48624	300190
1394	48653	300119
1395	48681	300039
1396	48717	300013
1397	48756	300002
1398	48793	299983
1399	48832	299972
1400	48867	299938
1401	48911	299956
1402	48946	299924
1403	48987	299927
1404	49025	299910
1405	49069	299931
1406	49111	299938
1407	49145	299901
1408	49176	299843
1409	49214	299824
1410	49246	299772
1411	49286	299768
1412	49326	299764
1413	49360	299724
1414	49398	299705
1415	49432	299665
1416	49468	299637
1417	49502	299601
1418	49541	299588
1419	49579	299569
1420	49625	299604
1421	49665	299602
1422	49709	299616
1423	49752	299635
1424	49795	299647
1425	49848	299721
1426	49886	299703
1427	49920	299662
1428	49955	299626
1429	49995	299621
1430	50033	299609
1431	50073	299603
1432	50113	299598
1433	50150	299575
1434	50190	299566
1435	50228	299550
1436	50267	299539
1437	50303	299514
1438	50349	299541
1439	50399	299594
1440	50438	299587
1441	50488	299640
1442	50524	299610
1443	50558	299567
1444	50601	299584
1445	50639	299562
1446	50670	299504
1447	50701	299446
1448	50739	299429
1449	50768	299360
1450	50807	299346
1451	50840	299301
1452	50899	299404
1453	50937	299391
1454	50976	299375
1455	51011	299344
1456	51039	299268
1457	51074	299228
1458	51104	299165
1459	51139	299130
1460	51182	299144
1461	51210	299068
1462	51245	299031
1463	51282	299006
1464	51313	298948
1465	51347	298906
1466	51379	298854
1467	51418	298845
1468	51445	298763
1469	51482	298735
1470	51510	298664
1471	51544	298619
1472	51586	298626
1473	51640	298703
1474	51687	298735
1475	51734	298768
1476	51783	298818
1477	51821	298797
1478	51861	298793
1479	51893	298739
1480	51932	298725
1481	51969	298699
1482	52020	298758
1483	52055	298722
1484	52090	298684
1485	52128	298667
1486	52156	298593
1487	52190	298552
1488	52232	298555
1489	52284	298616
1490	52327	298630
1491	52362	298593
1492	52407	298614
1493	52436	298543
1494	52469	298498
1495	52499	298431
1496	52525	298347
1497	52555	298281
1498	52584	298214
1499	52630	298239
1500	52666	298211
1501	52695	298139
1502	52731	298111
1503	52766	298075
1504	52801	298039
1505	52832	297981
1506	52865	297933
1507	52902	297912
1508	52932	297848
1509	52958	297757
1510	52990	297706
1511	53021	297649
1512	53048	297567
1513	53079	297513
1514	53121	297514
1515	53163	297519
1516	53194	297459
1517	53228	297418
1518	53258	297357
1519	53288	297291
1520	53322	297252
1521	53355	297205
1522	53389	297165
1523	53422	297118
1524	53452	297053
1525	53485	297011
1526	53520	296976
1527	53557	296949
1528	53597	296941
1529	53635	296924
1530	53681	296950
1531	53728	296980
1532	53762	296938
1533	53794	296888
1534	53829	296852
1535	53859	296790
1536	53890	296729
1537	53919	296662
1538	53960	296662
1539	53992	296608
1540	54030	296586
1541	54075	296605
1542	54111	296578
1543	54152	296578
1544	54190	296557
1545	54234	296572
1546	54272	296550
1547	54308	296523
1548	54347	296506
1549	54387	296499
1550	54416	296431
1551	54447	296375
1552	54476	296305
1553	54518	296309
1554	54554	296278
1555	54582	296202
1556	54616	296165
1557	54644	296090
1558	54674	296026
1559	54707	295982
1560	54741	295939
1561	54774	295892
1562	54805	295839
1563	54833	295766
1564	54865	295711
1565	54896	295655
1566	54927	295601
1567	54960	295551
1568	54993	295507
1569	55025	295454
1570	55061	295423
1571	55087	295339
1572	55113	295257
1573	55144	295199
1574	55178	295161
1575	55206	295086
1576	55234	295018
1577	55268	294976
1578	55304	294948
1579	55330	294863
1580	55362	294811
1581	55397	294777
1582	55426	294711
1583	55460	294666
1584	55488	294595
1585	55518	294535
1586	55558	294524
1587	55596	294504
1588	55626	294445
1589	55656	294385
1590	55692	294353
1591	55725	294308
1592	55756	294254
1593	55788	294202
1594	55827	294188
1595	55860	294142
1596	55891	294089
1597	55924	294039
1598	55958	294000
1599	55994	293971
1600	56030	293943
1601	56063	293893
1602	56093	293835
1603	56128	293801
1604	56156	293730
1605	56192	293699
1606	56221	293632
1607	56251	293570
1608	56284	293528
1609	56312	293454
1610	56340	293381
1611	56373	293337
1612	56403	293277
1613	56441	293258
1614	56482	293252
1615	56514	293203
1616	56547	293161
1617	56580	293112
1618	56604	293020
1619	56646	293024
1620	56681	292986
1621	56716	292955
1622	56746	292894
1623	56775	292828
1624	56806	292772
1625	56841	292735
1626	56873	292686
1627	56911	292665
1628	56940	292602
1629	56975	292565
1630	57011	292536
1631	57047	292508
1632	57074	292433
1633	57108	292390
1634	57141	292345
1635	57174	292301
1636	57198	292211
1637	57234	292181
1638	57265	292125
1639	57301	292100
1640	57333	292048
1641	57358	291964
1642	57394	291935
1643	57432	291911
1644	57459	291836
1645	57489	291779
1646	57525	291749
1647	57555	291686
1648	57583	291616
1649	57609	291539
1650	57642	291492
1651	57679	291468
1652	57714	291433
1653	57744	291377
1654	57775	291320
1655	57804	291258
1656	57837	291212
1657	57868	291157
1658	57896	291089
1659	57927	291033
1660	57954	290961
1661	57991	290934
1662	58021	290874
1663	58058	290849
1664	58099	290847
